#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
5.25   5   2.992   -0.8589
5.26   5   2.983   -0.8538
5.27   5   2.975   -0.8485
5.28   5   2.968   -0.8432
5.29   5   2.96   -0.8378
5.3   5   2.953   -0.8323
5.31   5   2.946   -0.8267
5.32   5   2.939   -0.821
5.33   5   2.933   -0.8153
5.34   5   2.927   -0.8094
5.35   5   2.921   -0.8035
5.36   5   2.915   -0.7975
5.37   5   2.91   -0.7915
5.38   5   2.905   -0.7853
5.39   5   2.9   -0.7791
5.4   5   2.896   -0.7728
5.41   5   2.891   -0.7664
5.42   5   2.887   -0.7599
5.43   5   2.884   -0.7534
5.44   5   2.88   -0.7468
5.45   5   2.877   -0.7401
5.46   5   2.874   -0.7333
5.47   5   2.871   -0.7265
5.48   5   2.868   -0.7196
5.49   5   2.866   -0.7126
5.5   5   2.864   -0.7055
5.51   5   2.862   -0.6984
5.52   5   2.861   -0.6912
5.53   5   2.859   -0.684
5.54   5   2.858   -0.6766
5.55   5   2.857   -0.6692
5.56   5   2.856   -0.6618
5.57   5   2.856   -0.6542
5.58   5   2.856   -0.6467
5.59   5   2.856   -0.639
5.6   5   2.856   -0.6313
5.61   5   2.856   -0.6235
5.62   5   2.857   -0.6156
5.63   5   2.858   -0.6077
5.64   5   2.859   -0.5997
5.65   5   2.86   -0.5917
5.66   5   2.861   -0.5836
5.67   5   2.863   -0.5755
5.68   5   2.865   -0.5673
5.69   5   2.867   -0.559
5.7   5   2.869   -0.5507
5.71   5   2.871   -0.5423
5.72   5   2.874   -0.5339
5.73   5   2.876   -0.5254
5.74   5   2.879   -0.5169
5.75   5   2.883   -0.5083
5.76   5   2.886   -0.4996
5.77   5   2.889   -0.491
5.78   5   2.893   -0.4822
5.79   5   2.897   -0.4734
5.8   5   2.901   -0.4646
5.81   5   2.905   -0.4557
5.82   5   2.909   -0.4468
5.83   5   2.914   -0.4378
5.84   5   2.919   -0.4288
5.85   5   2.924   -0.4198
5.86   5   2.929   -0.4107
5.87   5   2.934   -0.4015
5.88   5   2.939   -0.3924
5.89   5   2.944   -0.3831
5.9   5   2.95   -0.3739
5.91   5   2.956   -0.3646
5.92   5   2.962   -0.3553
5.93   5   2.968   -0.3459
5.94   5   2.974   -0.3365
5.95   5   2.98   -0.3271
5.96   5   2.987   -0.3176
5.97   5   2.994   -0.3081
5.98   5   3   -0.2986
5.99   5   3.007   -0.289
6   5   3.014   -0.2794
6.01   5   3.021   -0.2698
6.02   5   3.029   -0.2602
6.03   5   3.036   -0.2505
6.04   5   3.044   -0.2408
