#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
4.76   -1.3   -0.001246   -1.301
4.77   -1.35   -0.001233   -1.351
4.78   -1.4   -0.001221   -1.401
4.79   -1.45   -0.001209   -1.451
4.8   -1.5   -0.001197   -1.501
4.81   -1.55   -0.001185   -1.551
4.82   -1.6   -0.001173   -1.601
4.83   -1.65   -0.001161   -1.651
4.84   -1.7   -0.00115   -1.701
4.85   -1.75   -0.001138   -1.751
4.86   -1.8   -0.001127   -1.801
4.87   -1.85   -0.001115   -1.851
4.88   -1.9   -0.001104   -1.901
4.89   -1.95   -0.001093   -1.951
4.9   -2   -0.001082   -2.001
4.91   -2.05   -0.001071   -2.051
4.92   -2.1   -0.001061   -2.101
4.93   -2.15   -0.00105   -2.151
4.94   -2.2   -0.00104   -2.201
4.95   -2.25   -0.001029   -2.251
4.96   -2.3   -0.001019   -2.301
4.97   -2.35   -0.001009   -2.351
4.98   -2.4   -0.0009987   -2.401
4.99   -2.45   -0.0009887   -2.451
5   -2.5   -0.0009788   -2.501
5.01   -2.45   -0.000969   -2.451
5.02   -2.4   -0.0009593   -2.401
5.03   -2.35   -0.0009497   -2.351
5.04   -2.3   -0.0009402   -2.301
5.05   -2.25   -0.0009308   -2.251
5.06   -2.2   -0.0009215   -2.201
5.07   -2.15   -0.0009123   -2.151
5.08   -2.1   -0.0009032   -2.101
5.09   -2.05   -0.0008942   -2.051
5.1   -2   -0.0008852   -2.001
5.11   -1.95   -0.0008764   -1.951
5.12   -1.9   -0.0008676   -1.901
5.13   -1.85   -0.0008589   -1.851
5.14   -1.8   -0.0008503   -1.801
5.15   -1.75   -0.0008418   -1.751
5.16   -1.7   -0.0008334   -1.701
5.17   -1.65   -0.0008251   -1.651
5.18   -1.6   -0.0008168   -1.601
5.19   -1.55   -0.0008087   -1.551
5.2   -1.5   -0.0008006   -1.501
5.21   -1.45   -0.0007926   -1.451
5.22   -1.4   -0.0007846   -1.401
5.23   -1.35   -0.0007768   -1.351
5.24   -1.3   -0.000769   -1.301
5.25   -1.25   -0.0007613   -1.251
5.26   -1.2   -0.0007537   -1.201
5.27   -1.15   -0.0007462   -1.151
5.28   -1.1   -0.0007387   -1.101
5.29   -1.05   -0.0007313   -1.051
5.3   -1   -0.000724   -1.001
5.31   -0.95   -0.0007168   -0.9507
5.32   -0.9   -0.0007096   -0.9007
5.33   -0.85   -0.0007025   -0.8507
5.34   -0.8   -0.0006955   -0.8007
5.35   -0.75   -0.0006885   -0.7507
5.36   -0.7   -0.0006816   -0.7007
5.37   -0.65   -0.0006748   -0.6507
5.38   -0.6   -0.0006681   -0.6007
5.39   -0.55   -0.0006614   -0.5507
5.4   -0.5   -0.0006548   -0.5007
5.41   -0.45   -0.0006482   -0.4507
5.42   -0.4   -0.0006418   -0.4006
5.43   -0.35   -0.0006353   -0.3506
5.44   -0.3   -0.000629   -0.3006
5.45   -0.25   -0.0006227   -0.2506
5.46   -0.2   -0.0006165   -0.2006
5.47   -0.15   -0.0006103   -0.1506
5.48   -0.1   -0.0006042   -0.1006
5.49   -0.05   -0.0005982   -0.0506
5.5   -3.642e-13   -0.0005922   -0.0005982
5.51   0.05   -0.0005863   0.04941
5.52   0.1   -0.0005804   0.09941
5.53   0.15   -0.0005746   0.1494
5.54   0.2   -0.0005688   0.1994
5.55   0.25   -0.0005632   0.2494
5.56   0.3   -0.0005575   0.2994
5.57   0.35   -0.0005519   0.3494
5.58   0.4   -0.0005464   0.3994
5.59   0.45   -0.000541   0.4495
5.6   0.5   -0.0005356   0.4995
5.61   0.55   -0.0005302   0.5495
5.62   0.6   -0.0005249   0.5995
5.63   0.65   -0.0005196   0.6495
#Diode passante
5.64   0.7   -9.257e-06   0.649
5.65   0.75   0.0009909   0.65
5.66   0.8   0.002471   0.652
5.67   0.85   0.004422   0.6549
5.68   0.9   0.006833   0.6588
5.69   0.95   0.009697   0.6637
5.7   1   0.013   0.6694
5.71   1.05   0.01674   0.676
5.72   1.1   0.02091   0.6835
5.73   1.15   0.02549   0.6918
5.74   1.2   0.03048   0.701
5.75   1.25   0.03587   0.711
5.76   1.3   0.04165   0.7217
5.77   1.35   0.04782   0.7333
5.78   1.4   0.05436   0.7456
5.79   1.45   0.06128   0.7587
5.8   1.5   0.06855   0.7726
5.81   1.55   0.07618   0.7871
5.82   1.6   0.08416   0.8024
5.83   1.65   0.09247   0.8183
5.84   1.7   0.1011   0.8349
5.85   1.75   0.1101   0.8522
5.86   1.8   0.1194   0.8702
5.87   1.85   0.129   0.8888
5.88   1.9   0.1389   0.908
5.89   1.95   0.1492   0.9279
5.9   2   0.1597   0.9483
5.91   2.05   0.1705   0.9693
5.92   2.1   0.1816   0.991
5.93   2.15   0.1929   1.013
5.94   2.2   0.2046   1.036
5.95   2.25   0.2165   1.059
5.96   2.3   0.2287   1.083
5.97   2.35   0.2411   1.107
5.98   2.4   0.2538   1.132
5.99   2.45   0.2667   1.158
6   2.5   0.2799   1.183
6.01   2.45   0.2933   1.11
6.02   2.4   0.3059   1.137
6.03   2.35   0.3178   1.162
6.04   2.3   0.3289   1.186
6.05   2.25   0.3393   1.208
6.06   2.2   0.3491   1.229
6.07   2.15   0.3581   1.248
6.08   2.1   0.3664   1.266
6.09   2.05   0.3741   1.283
6.1   2   0.3811   1.298
6.11   1.95   0.3875   1.312
6.12   1.9   0.3932   1.325
6.13   1.85   0.3984   1.336
6.14   1.8   0.4029   1.347
6.15   1.75   0.4068   1.356
6.16   1.7   0.4102   1.364
6.17   1.65   0.413   1.37
6.18   1.6   0.4152   1.376
6.19   1.55   0.4169   1.38
6.2   1.5   0.4181   1.384
6.21   1.45   0.4187   1.386
6.22   1.4   0.4189   1.387
6.23   1.35   0.4185   1.388
6.24   1.3   0.4176   1.387
6.25   1.25   0.4163   1.385
6.26   1.2   0.4144   1.383
6.27   1.15   0.4121   1.379
6.28   1.1   0.4094   1.374
6.29   1.05   0.4062   1.369
6.3   1   0.4026   1.362
6.31   0.95   0.3985   1.355
6.32   0.9   0.3941   1.347
6.33   0.85   0.3892   1.338
6.34   0.8   0.3839   1.328
6.35   0.75   0.3782   1.318
6.36   0.7   0.3722   1.306
