#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
5.98   2.4   -0.2023   -0.2986
5.99   2.45   -0.2006   -0.289
6   2.5   -0.1987   -0.2794
6.01   2.45   -0.1965   -0.2698
6.02   2.4   -0.1941   -0.2602
6.03   2.35   -0.1915   -0.2505
6.04   2.3   -0.1886   -0.2408
6.05   2.25   -0.1855   -0.2311
6.06   2.2   -0.1821   -0.2213
6.07   2.15   -0.1786   -0.2116
6.08   2.1   -0.1748   -0.2018
6.09   2.05   -0.1709   -0.192
6.1   2   -0.1668   -0.1822
6.11   1.95   -0.1625   -0.1723
6.12   1.9   -0.158   -0.1625
6.13   1.85   -0.1533   -0.1526
6.14   1.8   -0.1485   -0.1427
6.15   1.75   -0.1436   -0.1328
6.16   1.7   -0.1385   -0.1229
6.17   1.65   -0.1332   -0.1129
6.18   1.6   -0.1278   -0.103
6.19   1.55   -0.1223   -0.09305
6.2   1.5   -0.1167   -0.08309
6.21   1.45   -0.111   -0.07312
6.22   1.4   -0.1052   -0.06314
6.23   1.35   -0.09922   -0.05316
6.24   1.3   -0.0932   -0.04317
6.25   1.25   -0.08709   -0.03318
6.26   1.2   -0.08091   -0.02318
6.27   1.15   -0.07465   -0.01318
6.28   1.1   -0.06833   -0.003185
6.29   1.05   -0.06195   0.006815
6.3   1   -0.05551   0.01681
6.31   0.95   -0.04903   0.02681
6.32   0.9   -0.04251   0.03681
6.33   0.85   -0.03595   0.0468
6.34   0.8   -0.02936   0.05678
6.35   0.75   -0.02276   0.06676
6.36   0.7   -0.01613   0.07674
6.37   0.65   -0.009494   0.08671
6.38   0.6   -0.002852   0.09666
6.39   0.55   0.003789   0.1066
6.4   0.5   0.01042   0.1165
6.41   0.45   0.01705   0.1265
6.42   0.4   0.02365   0.1364
6.43   0.35   0.03024   0.1463
6.44   0.3   0.03679   0.1562
6.45   0.25   0.04331   0.166
6.46   0.2   0.0498   0.1759
6.47   0.15   0.05623   0.1857
6.48   0.1   0.06262   0.1955
6.49   0.05   0.06896   0.2053
6.5   4.707e-13   0.07523   0.2151
6.51   -0.05   0.08144   0.2249
6.52   -0.1   0.08758   0.2346
6.53   -0.15   0.09365   0.2443
